TOA5;CR1000XLagunaPiedra;CR1000X;22185;CR1000X.Std.04.02;CPU:FuentePiedraV3.1.CR1X;57757;flux;;;;;;;;;;;;;;;;;;
TIMESTAMP;RECORD;Ux_rmy_Avg;Uy_rmy_Avg;Uz_rmy_Avg;Ts_rmy_Avg;diag_rmy_Avg;CO2_Avg;H2O_Avg;press_Avg;diag_irga_Avg;rh_hmp_Avg;t_hmp_Avg;e_hmp_Avg;panel_temp_raw_Avg;batt_volt_Avg;Rn_meas_Avg;Par_i_Avg;Par_r_Avg;Tsoil_Avg(1);Tsoil_Avg(2);Tsoil_Avg(3);shf_Avg;n_nnd_Tot;n_NaN_Tot;num_Tot
TS;RN;m/s;m/s;m/s;C;unitless;mmol/m^3;mmol/m^3;kPa;unitless;percent;C;kPa;C;V;W/m^2;mV;mV;C;C;C;;;;
;;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Tot;Tot;Tot
26/10/2021 09:30;0;NAN;NAN;NAN;NAN;NAN;1.626.334;6.071.038;9.711.673;248;7.186.564;1.941.715;1.619.893;190.566;1.313.136;1.519.364;7.432.424;-11229.67;1.709.078;1.994.888;1.731.715;-3.561.404;1;0;6299
26/10/2021 10:00;1;2.239.833;-2.078.052;-0.1207433;1.727.604;0;1.624.831;5.850.573;9.711.313;248;6.772.521;1.978.791;1.561.668;1.990.382;1.304.478;1.788.829;810.625;-11338.17;1.811.485;2.122.735;18.228;4.229.967;0;0;18000
26/10/2021 10:30;2;2.324.645;-2.314.457;-0.1087461;1.815.963;0;161.983;5.368.679;9.710.394;248;5.903.321;2.058.185;1.429.415;2.109.709;1.286.221;2.093.457;9.019.622;-11443.26;1.946.713;2.263.608;1.953.899;9.048.372;0;0;18000
26/10/2021 11:00;3;230.005;-4.010.939;-0.1417711;1.876.078;0;1.617.039;4.618.878;9.709.036;248;4.821.124;2.119.712;1.212.703;2.206.306;1.273.574;2.421.237;9.981.808;-11613.43;2.067.693;236.319;2.078.486;1.234.807;0;0;18000
26/10/2021 11:30;4;1.868.531;-5.051.726;-0.1058622;1.923.721;0;1.615.399;4.279.916;9.706.197;248;4.229.619;216.677;1.095.342;2.294.455;1.268.957;2.595.768;1004.66;-11712.49;2.166.789;2.431.492;2.192.427;1.451.928;0;0;18000
26/10/2021 12:00;5;1.143.049;-5.785.427;-0.03893055;1.944.989;0;161.484;4.425.335;970.284;248;4.322.836;2.176.414;1.126.112;2.356.459;1.281.292;2.019.927;765.88;-11573.92;2.242.017;2.428.135;2.288.994;1.551.638;0;0;18000
26/10/2021 12:30;6;1.285.361;-6.264;-0.05100388;1.970.226;0;1.612.357;4.419.588;9.700.192;248;4.231.063;219.987;1.118.111;2.370.545;1.283.618;2.700.884;9.482.169;-11734.4;2.274.701;2.423.524;2.340.735;1.438.671;0;0;18000
