file_info;;;;;;;corrected_fluxes_and_quality_flags;;;;;;;;;;;;;;;;;;;;;storage_fluxes;;;;;;vertical_advection_fluxes;;;;gas_densities_concentrations_and_timelags;;;;;;;;;;;;;;;;;;;;air_properties;;;;;;;;;;;;;;unrotated_wind;;;rotated_wind;;;;;;rotation_angles_for_tilt_correction;;;turbulence;;;;;;footprint;;;;;;;;uncorrected_fluxes_and_spectral_correction_factors_(scf);;;;;;;;;;;;;;statistical_flags;;;;;;;;;;;;spikes;;;;;;;;diagnostic_flags_LI-7200;;;;;;;;;diagnostic_flags_LI-7500;;;;diagnostic_flags_LI-7700;;;;;;;;;;;;;;;;AGC_LI-7200;AGC_LI-7500;variances;;;;;;;;covariances;;;;;custom_variables;;
filename;date;time;DOY;daytime;file_records;used_records;Tau;qc_Tau;rand_err_Tau;H;qc_H;rand_err_H;LE;qc_LE;rand_err_LE;co2_flux;qc_co2_flux;rand_err_co2_flux;h2o_flux;qc_h2o_flux;rand_err_h2o_flux;ch4_flux;qc_ch4_flux;rand_err_ch4_flux;none_flux;qc_none_flux;rand_err_none_flux;H_strg;LE_strg;co2_strg;h2o_strg;ch4_strg;none_strg;co2_v-adv;h2o_v-adv;ch4_v-adv;none_v-adv;co2_molar_density;co2_mole_fraction;co2_mixing_ratio;co2_time_lag;co2_def_timelag;h2o_molar_density;h2o_mole_fraction;h2o_mixing_ratio;h2o_time_lag;h2o_def_timelag;ch4_molar_density;ch4_mole_fraction;ch4_mixing_ratio;ch4_time_lag;ch4_def_timelag;none_molar_density;none_mole_fraction;none_mixing_ratio;none_time_lag;none_def_timelag;sonic_temperature;air_temperature;air_pressure;air_density;air_heat_capacity;air_molar_volume;ET;water_vapor_density;e;es;specific_humidity;RH;VPD;Tdew;u_unrot;v_unrot;w_unrot;u_rot;v_rot;w_rot;wind_speed;max_wind_speed;wind_dir;yaw;pitch;roll;u*;TKE;L;(z-d)/L;bowen_ratio;T*;model;x_peak;x_offset;x_10%;x_30%;x_50%;x_70%;x_90%;un_Tau;Tau_scf;un_H;H_scf;un_LE;LE_scf;un_co2_flux;co2_scf;un_h2o_flux;h2o_scf;un_ch4_flux;ch4_scf;un_none_flux;un_none_scf;spikes_hf;amplitude_resolution_hf;drop_out_hf;absolute_limits_hf;skewness_kurtosis_hf;skewness_kurtosis_sf;discontinuities_hf;discontinuities_sf;timelag_hf;timelag_sf;attack_angle_hf;non_steady_wind_hf;u_spikes;v_spikes;w_spikes;ts_spikes;co2_spikes;h2o_spikes;ch4_spikes;none_spikes;head_detect_LI-7200;t_out_LI-7200;t_in_LI-7200;aux_in_LI-7200;delta_p_LI-7200;chopper_LI-7200;detector_LI-7200;pll_LI-7200;sync_LI-7200;chopper_LI-7500;detector_LI-7500;pll_LI-7500;sync_LI-7500;not_ready_LI-7700;no_signal_LI-7700;re_unlocked_LI-7700;bad_temp_LI-7700;laser_temp_unregulated_LI-7700;block_temp_unregulated_LI-7700;motor_spinning_LI-7700;pump_on_LI-7700;top_heater_on_LI-7700;bottom_heater_on_LI-7700;calibrating_LI-7700;motor_failure_LI-7700;bad_aux_tc1_LI-7700;bad_aux_tc2_LI-7700;bad_aux_tc3_LI-7700;box_connected_LI-7700;mean_value_RSSI_LI-7200;mean_value_LI-7500;u_var;v_var;w_var;ts_var;co2_var;h2o_var;ch4_var;none_var;w/ts_cov;w/co2_cov;w/h2o_cov;w/ch4_cov;w/none_cov;air_p_mean;ch4_mean;rssi_mean
;[yyyy-mm-dd];[HH:MM];[ddd.ddd];[1=daytime];[#];[#];[kg+1m-1s-2];[#];[kg+1m-1s-2];[W+1m-2];[#];[W+1m-2];[W+1m-2];[#];[W+1m-2];[µmol+1s-1m-2];[#];[µmol+1s-1m-2];[mmol+1s-1m-2];[#];[mmol+1s-1m-2];[µmol+1s-1m-2];[#];[µmol+1s-1m-2];[µmol+1s-1m-2];[#];[µmol+1s-1m-2];[W+1m-2];[W+1m-2];[µmol+1s-1m-2];[mmol+1s-1m-2];[µmol+1s-1m-2];[µmol+1s-1m-2];[µmol+1s-1m-2];[mmol+1s-1m-2];[µmol+1s-1m-2];[µmol+1s-1m-2];[mmol+1m-3];[µmol+1mol_a-1];[µmol+1mol_d-1];[s];[1=default];[mmol+1m-3];[mmol+1mol_a-1];[mmol+1mol_d-1];[s];[1=default];[mmol+1m-3];[µmol+1mol_a-1];[µmol+1mol_d-1];[s];[1=default];[mmol+1m-3];[µmol+1mol_a-1];[µmol+1mol_d-1];[s];[1=default];[K];[K];[Pa];[kg+1m-3];[J+1kg-1K-1];[m+3mol-1];[mm+1hour-1];[kg+1m-3];[Pa];[Pa];[kg+1kg-1];[%];[Pa];[K];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[m+1s-1];[deg_from_north];[deg];[deg];[deg];[m+1s-1];[m+2s-2];[m];[#];[#];[K];[0=KJ/1=KM/2=HS];[m];[m];[m];[m];[m];[m];[m];[kg+1m-1s-2];[#];[W+1m-2];[#];[W+1m-2];[#];[µmol+1s-1m-2];[#];[mmol+1s-1m-2];[#];[µmol+1s-1m-2];[#];[µmol+1s-1m-2];[#];8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8u/v/w/ts/co2/h2o/ch4/none;8co2/h2o/ch4/none;8co2/h2o/ch4/none;8aa;8U;[#];[#];[#];[#];[#];[#];[#];[#];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#_flagged_recs];[#];[#];[m+2s-2];[m+2s-2];[m+2s-2];[K+2];--;--;--;--;[m+1s-1K+1];--;--;--;--;--;--;--
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSV_fdp_2022_01_13_1330.dat;13/01/2022;13:30;135.624;1;17999;17999;-0.184305;0;0.101900E-01;272.445;0;212.533;222.388;0;110.540;0.959144E-02;0;0.182267;498.837;0;0.247951;-0.114798E-01;0;0.261841E-02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.564537E-10;0.100118E-11;0.294174E-12;NaN;169.242;409.542;412.539;0.200000;0;300.142;726.301;731.615;0.200000;0;0.881903E-01;203.980;205.472;0.100000;0;NaN;NaN;NaN;NaN;9;284.182;284.182;97637.5;119.367;1009.27;0.241986E-01;0.323247;0.540855E-02;709.333;1311.57;0.453105E-02;540.826;602.240;275.222;460.266;-669.623;-0.231445;812.881;0.117371E-13;0.333568E-14;812.881;124.938;345.116;304.503;-163.156;NaN;0.392941;211.443;-190.857;-0.151946E-01;0.122509;-0.575519E-01;0;757.792;-114.998;260.125;647.749;987.858;138.549;207.571;-0.180677;102.008;373.128;104.458;188.492;116.561;-290.022;116.561;422.804;116.561;-0.299098E-01;121.445;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000019;800000109;800010109;80000;80000;80;80;2;1;3;3;4;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;5516;5516;5516;12483;0;0;0;0;5516;5516;0;0;12483;0;12483;5516;NaN;56;154.545;251.947;0.163933;0.402300E-01;0.405903E-03;671.040;0.733803E-07;NaN;0.309718E-01;-0.290022E-02;422.804;-0.299098E-04;NaN;97742.0;-2401.55;-2393.51
CSV_fdp_2022_01_13_1400.dat;13/01/2022;14:00;135.832;1;17999;17999;-0.141659;1;0.108615E-01;268.186;0;224.697;216.003;0;110.103;-0.100766;0;0.191604;484.565;0;0.246997;-0.685614E-02;0;0.210970E-02;NaN;NaN;NaN;0.209895;-0.300985;0.295889E-02;-0.675208E-02;-0.303165E-03;NaN;-0.834540E-10;-0.145918E-11;-0.433878E-12;NaN;169.192;409.587;412.541;0.200000;0;295.829;716.156;721.322;0.200000;0;0.879630E-01;203.545;205.013;0.100000;0;NaN;NaN;NaN;NaN;9;284.291;284.291;97635.1;119.323;1009.22;0.242084E-01;0.313998;0.533084E-02;699.407;1321.03;0.446758E-02;529.441;621.622;275.025;372.384;-638.269;-0.169091;739.151;0.288970E-12;-0.493251E-14;739.151;130.923;348.345;300.260;-131.084;NaN;0.344556;231.975;-130.718;-0.221852E-01;0.124159;-0.646350E-01;0;696.908;-105.758;239.226;595.706;908.490;127.417;190.894;-0.139085;101.851;367.609;104.127;184.635;115.591;-295.112;115.591;414.198;115.591;-0.255756E-01;120.645;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000009;800000109;800000109;80000;80000;80;81;8;1;6;14;8;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;4179;4179;4179;13820;0;0;0;0;4179;4179;0;0;13820;0;13820;4179;NaN;56;244.003;204.405;0.155406;0.522372E-01;0.490525E-03;774.732;0.572325E-07;NaN;0.305265E-01;-0.295112E-02;414.198;-0.255756E-04;NaN;97740.3;-1802.17;-1796.88
CSV_fdp_2022_01_13_1430.dat;13/01/2022;14:30;136.040;1;17999;17999;-0.123812;1;0.109445E-01;252.837;0;215.356;232.459;0;117.157;-0.969286E-01;0;0.194669;521.538;0;0.262849;-0.612607E-02;0;0.203642E-02;NaN;NaN;NaN;0.219469;-159.720;0.364388E-02;-0.358344E-01;-0.265953E-04;NaN;-0.258297E-10;-0.417601E-12;-0.134269E-12;NaN;169.137;409.642;412.373;0.200000;0;273.452;662.287;666.702;0.200000;0;0.879215E-01;203.507;204.864;0.100000;0;NaN;NaN;NaN;NaN;9;284.404;284.404;97629.4;119.293;1008.93;0.242195E-01;0.337957;0.492761E-02;646.760;1330.99;0.413069E-02;485.925;684.226;273.936;427.401;-601.004;-0.204289;737.763;0.401299E-13;-0.152715E-14;737.763;126.108;344.195;305.418;-158.674;NaN;0.322162;155.024;-113.324;-0.255904E-01;0.108766;-0.652066E-01;0;688.932;-104.548;236.488;588.888;898.092;125.959;188.709;-0.121566;101.848;361.343;104.121;199.025;115.573;-301.375;115.573;446.527;115.573;-0.254665E-01;120.630;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000009;800000109;800000109;80000;80000;80;80;26;0;4;7;2;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;4353;4353;4353;13646;0;0;0;0;4353;4353;0;0;13646;0;13646;4353;NaN;56;140.559;155.507;0.139829;0.407902E-01;0.451821E-03;834.818;0.515062E-07;NaN;0.300224E-01;-0.301375E-02;446.527;-0.254665E-04;NaN;97733.3;-1767.67;-1761.64
CSV_fdp_2022_01_13_1500.dat;13/01/2022;15:00;136.249;1;17999;17999;-0.167613;0;0.941948E-02;170.559;0;145.658;205.230;0;920.096;0.651770E-01;0;0.134499;460.382;0;0.206400;-0.524338E-02;0;0.124402E-02;NaN;NaN;NaN;-0.292196;-0.664622E-01;0.353354E-02;-0.149091E-02;0.809720E-04;NaN;0.163742E-10;0.263800E-12;0.851651E-13;NaN;169.256;409.695;412.417;0.200000;0;272.682;660.047;664.432;0.200000;0;0.880328E-01;203.623;204.976;0.100000;0;NaN;NaN;NaN;NaN;9;284.253;284.253;97633.3;119.362;1008.91;0.242057E-01;0.298327;0.491374E-02;644.598;1317.75;0.411668E-02;489.165;673.153;273.889;390.878;-699.927;-0.209681;801.950;-0.301528E-14;0.967425E-15;801.950;121.476;350.759;299.181;-149.825;NaN;0.374732;136.039;-264.383;-0.109689E-01;0.831063E-01;-0.377951E-01;0;748.925;-113.652;257.082;640.170;976.299;136.927;205.142;-0.164352;101.984;267.149;104.409;174.602;116.419;-228.886;116.419;391.676;116.419;-0.207887E-01;121.327;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000009;800000109;800000109;80000;80000;80;80;3;0;3;2;4;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;5526;5526;5526;12473;0;0;0;0;5526;5526;0;0;12473;0;12473;5526;NaN;56;113.602;143.122;0.153544;0.261745E-01;0.310223E-03;666.184;0.327466E-07;NaN;0.221838E-01;-0.228886E-02;391.676;-0.207887E-04;NaN;97735.9;-2406.12;-2399.63
CSV_fdp_2022_01_13_1530.dat;13/01/2022;15:30;136.457;1;17999;17999;-0.113835;0;0.930017E-02;775.454;0;131.729;201.503;0;116.091;-0.534300E-01;0;0.148662;452.004;0;0.260411;-0.627685E-02;0;0.206214E-02;NaN;NaN;NaN;-0.726115E-01;-0.634182E-01;0.699088E-04;-0.142258E-02;0.110557E-03;NaN;0.423396E-10;0.679911E-12;0.220385E-12;NaN;169.288;409.696;412.409;0.200000;0;271.851;657.910;662.267;0.200000;0;0.881173E-01;203.782;205.131;0.100000;0;NaN;NaN;NaN;NaN;9;284.216;284.216;97638.9;119.385;1008.90;0.242011E-01;0.292898;0.489876E-02;642.548;1314.48;0.410332E-02;488.823;671.933;273.845;386.196;-532.583;-0.192246;658.150;-0.461401E-13;0.250104E-14;658.150;111.686;343.779;305.947;-167.385;NaN;0.308789;128.470;-325.380;-0.891264E-02;0.384836E-01;-0.208495E-01;0;693.031;-105.170;237.895;592.392;903.436;126.708;189.832;-0.111950;101.684;178.307;103.762;174.581;114.504;-199.914;114.504;391.615;114.504;-0.191901E-01;119.763;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000009;800010109;800010109;80000;80000;80;80;19;7;4;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;4210;4210;4210;13789;0;0;0;0;4210;4210;0;0;13789;0;13789;4210;NaN;56;102.587;141.696;0.126570;0.164345E-01;0.260112E-03;769.212;0.523095E-07;NaN;0.148037E-01;-0.199914E-02;391.615;-0.191901E-04;NaN;97744.5;-1815.97;-1809.14
CSV_fdp_2022_01_13_1600.dat;13/01/2022;16:00;136.665;1;17999;17999;-0.110236;1;0.859552E-02;0.228778;0;125.973;154.288;0;967.417;0.264113E-01;0;0.127991;346.004;0;0.216952;-0.467890E-02;0;0.110740E-02;NaN;NaN;NaN;-0.525268;106.253;0.141178E-01;0.238282E-01;-0.674605E-04;NaN;-0.482324E-10;-0.816214E-12;-0.250830E-12;NaN;169.543;409.908;412.771;0.200000;0;286.910;693.668;698.513;0.200000;0;0.881700E-01;203.685;205.108;0.100000;0;NaN;NaN;NaN;NaN;9;283.945;283.945;97642.6;119.487;1009.09;0.241772E-01;0.224210;0.517012E-02;677.497;1291.06;0.432692E-02;524.760;613.564;274.581;249.282;-646.059;-0.106222;692.566;-0.861360E-13;-0.284484E-14;692.566;110.294;358.539;291.099;-0.878809;NaN;0.303739;113.920;-10497.4;-0.276258E-03;0.148280E-02;-0.624686E-03;0;698.874;-106.057;239.901;597.387;911.053;127.776;191.432;-0.108336;101.754;810.748;103.917;133.262;114.969;-122.075;114.969;298.851;114.969;-0.129586E-01;120.138;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000009;800010109;800010109;80000;80000;80;80;8;10;2;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;4277;4277;4277;13722;0;0;0;0;4277;4277;0;0;13722;0;13722;4277;NaN;56;123.759;0.920889;0.119920;0.143854E-01;0.201083E-03;562.832;0.244713E-07;NaN;0.672410E-02;-0.122075E-02;298.851;-0.129586E-04;NaN;97748.7;-1720.43;-1714.11
CSV_fdp_2022_01_13_1630.dat;13/01/2022;16:30;136.873;1;17999;17999;-0.110825;0;0.769482E-02;-880.363;1;136.862;118.148;0;713.675;0.698558E-01;0;0.733002E-01;264.884;0;0.160004;-0.144828E-02;0;0.852425E-03;NaN;NaN;NaN;-0.554938;0.748870;-0.111943E-01;0.167895E-01;0.412501E-04;NaN;-0.394000E-10;-0.691219E-12;-0.205044E-12;NaN;169.673;409.740;412.706;0.200000;0;297.668;718.833;724.038;0.200000;0;0.883007E-01;203.744;205.219;0.200000;0;NaN;NaN;NaN;NaN;9;283.660;283.660;97659.1;119.616;1009.22;0.241488E-01;0.171645;0.536399E-02;702.194;1266.75;0.448433E-02;554.329;564.552;275.081;255.785;-612.285;-0.109849;663.656;-0.100500E-13;-0.232211E-14;663.656;992.125;357.342;292.673;-0.948405;NaN;0.304385;0.662864;274.581;0.105615E-01;-0.745139E-01;0.239586E-01;0;757.387;-114.936;259.986;647.403;987.330;138.474;207.460;-0.108935;101.735;-253.907;104.029;100.524;117.026;-0.495161;117.026;225.373;117.026;-0.542372E-02;123.847;NaN;NaN;800000009;800010019;800000009;800000009;800000009;800000019;800010109;800010109;80000;80000;80;80;3;2;1;31;2;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;5600;5600;5600;12399;0;0;0;0;5600;5600;0;0;12399;0;12399;5600;NaN;56;0.649756;0.577471;0.985005E-01;0.165486E-01;0.105927E-03;440.896;0.245519E-07;NaN;-0.210328E-02;-0.495161E-03;225.373;-0.542372E-05;NaN;97761.2;-2439.15;-2434.40
CSV_fdp_2022_01_13_1700.dat;13/01/2022;17:00;137.082;1;17999;17999;-0.838771E-01;0;0.606899E-02;-105.906;0;184.538;771.708;0;570.563;-0.513337E-01;0;0.155952;172.921;0;0.127849;-0.108821E-02;0;0.950624E-03;NaN;NaN;NaN;-111.061;190.615;0.133460E-01;0.427121E-01;0.126692E-03;NaN;0.402352E-10;0.768225E-12;0.209496E-12;NaN;170.131;409.939;413.173;0.200000;0;324.838;782.713;788.887;0.200000;0;0.885838E-01;203.925;205.533;0.200000;0;NaN;NaN;NaN;NaN;9;283.090;283.090;97678.5;119.852;1009.56;0.240955E-01;0.112053;0.585358E-02;764.747;1219.40;0.488401E-02;627.150;454.654;276.280;199.108;-606.096;-0.585821E-01;637.989;-0.617849E-13;0.236495E-14;637.989;937.596;162.746;288.186;-0.526115;NaN;0.264545;0.609701;149.881;0.193487E-01;-0.137236;0.330859E-01;0;718.200;-108.990;246.535;613.906;936.246;131.310;196.726;-0.824235E-01;101.764;-632.664;104.061;656.944;117.232;-0.199875;117.232;147.205;117.232;-0.236052E-02;124.386;NaN;NaN;800000009;800000019;800000009;800000009;800000009;800000019;800010109;800010109;80000;80000;80;80;7;0;4;39;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;4368;4368;4368;13631;0;0;0;0;4368;4368;0;0;13631;0;13631;4368;NaN;56;0.666716;0.467714;0.849715E-01;0.416102E-01;0.404699E-03;312.615;0.304838E-07;NaN;-0.522872E-02;-0.199875E-03;147.205;-0.236052E-05;NaN;97779.4;-1886.53;-1883.96
