file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,AGC_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_p_mean,ch4_mean,rssi_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--
not_enough_data,2022-02-21,09:30,52.395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CSV_fdp_2022_02_21_1000.dat,2022-02-21,10:00,52.4166,1,17999,17999,0.701336E-02,1,0.609442E-02,69.0367,0,7.90326,33.2439,0,3.04771,-0.244548,0,0.454593,0.748210,0,0.685938E-01,0.121220E-01,1,0.466049E-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.119140E-09,0.324400E-11,0.635992E-12,NaN,16.9740,416.101,420.870,0.00000,0,462.177,11.3298,11.4597,0.00000,0,0.906106E-01,2.13318,2.15762,0.100000,0,NaN,NaN,NaN,NaN,9,284.961,287.695,97572.5,1.17649,1011.59,0.245140E-01,0.484840E-01,0.832843E-02,1105.78,1650.98,0.707906E-02,66.9768,545.207,281.604,-0.258297,-0.746770,-0.577865E-02,0.790200,-0.375871E-13,0.701896E-14,0.790200,2.25218,34.1033,250.920,-0.419002,NaN,0.772092E-01,0.203037,-0.571548,-5.07394,2.07667,-0.751308,1,8.19799,4.00000,6.00000,10.0000,15.0000,24.0000,51.0000,0.689662E-02,1.01693,69.4855,1.02059,26.6804,1.07670,-3.69501,1.07670,0.600488,1.07670,-0.116839E-01,1.15328,NaN,NaN,800000009,800000019,800000009,800000009,800010019,800011019,801100109,811100109,80000,80000,81,81,2,1,0,49,58,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,4954,4954,4954,0,0,0,0,0,4954,4954,0,0,13045,0,13045,4954,NaN,56,0.294879,0.746538E-01,0.365403E-01,0.415888,0.184880E-02,41.3713,0.338829E-06,NaN,0.583850E-01,-0.369501E-02,0.600488,-0.116839E-04,NaN,97676.5,-2200.09,-2137.94
CSV_fdp_2022_02_21_1030.dat,2022-02-21,10:30,52.4374,1,17999,17999,-0.815389E-02,0,0.409037E-02,90.5687,0,10.5954,35.0389,0,3.52597,-0.779620,0,0.745432,0.790200,0,0.795181E-01,-0.154515E-02,0,0.404370E-02,NaN,NaN,NaN,3.98754,0.124140,0.290048E-01,0.279962E-02,0.947133E-03,NaN,0.520453E-10,0.142097E-11,0.278797E-12,NaN,16.8636,416.546,421.338,0.400000,0,460.420,11.3728,11.5036,0.300000,0,0.903355E-01,2.14703,2.17173,0.700000,0,NaN,NaN,NaN,NaN,9,286.243,289.791,97540.0,1.16757,1011.66,0.247008E-01,0.512050E-01,0.829677E-02,1109.60,1888.24,0.710599E-02,58.7635,778.645,281.655,0.291947,-0.322304,-0.114467E-01,0.435022,0.608261E-14,0.308624E-14,0.435022,1.61694,337.234,312.171,-1.50780,NaN,0.835680E-01,0.139528,-0.552314,-5.25063,2.58481,-0.917528,1,3.33372,2.00000,3.00000,4.00000,6.00000,10.0000,23.0000,-0.794964E-02,1.02569,90.2286,1.02594,27.0348,1.08151,-5.15095,1.08151,0.609692,1.08151,-0.304675E-01,1.16105,NaN,NaN,800000009,800000019,800000009,800000009,800010009,800011009,800000109,801100109,80000,80000,81,81,0,2,0,41,35,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3356,3356,3356,0,0,0,0,0,3356,3356,0,0,14643,0,14643,3356,NaN,56,0.976417E-01,0.139903,0.415117E-01,0.657947,0.435229E-02,43.8558,0.126827E-06,NaN,0.763881E-01,-0.515095E-02,0.609692,-0.304675E-04,NaN,97650.9,-1489.71,-1419.17
CSV_fdp_2022_02_21_1100.dat,2022-02-21,11:00,52.4582,1,17999,17999,-0.165154E-01,1,0.861992E-02,131.455,0,12.9431,49.0121,0,4.62927,-0.765647,0,0.775099,1.10761,0,0.104615,0.124478E-01,1,0.637773E-02,NaN,NaN,NaN,4.04196,-0.546734,-0.189633E-01,-0.123555E-01,-0.659107E-03,NaN,0.933832E-10,0.250857E-11,0.497297E-12,NaN,16.7252,416.253,420.960,0.200000,0,449.292,11.1819,11.3083,0.100000,0,0.890672E-01,2.13732,2.16149,0.500000,0,NaN,NaN,NaN,NaN,9,287.882,291.931,97522.0,1.15889,1011.60,0.248878E-01,0.717731E-01,0.809624E-02,1090.77,2160.91,0.698623E-02,50.4775,1070.13,281.403,0.313837,-0.280202,0.485305E-02,0.420750,-0.553740E-13,0.558339E-14,0.420750,2.46613,331.900,318.241,0.660881,NaN,0.119378,0.320636,-1.10915,-2.61461,2.68210,-0.939297,1,2.37244,1.00000,2.00000,3.00000,5.00000,8.00000,18.0000,-0.160916E-01,1.02634,130.829,1.02635,37.7348,1.08196,-7.07142,1.08196,0.852757,1.08196,-0.306791E-01,1.16166,NaN,NaN,800000009,800000019,800000009,800000009,800000009,800011009,800000109,800100109,80000,80000,81,81,2,0,0,33,17,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2900,2908,2900,0,0,0,0,0,2900,2900,0,0,15099,0,15099,2900,NaN,56,0.230114,0.350836,0.603216E-01,0.703312,0.348291E-02,56.3314,0.378798E-06,NaN,0.111597,-0.707142E-02,0.852757,-0.306791E-04,NaN,97635.0,-1143.88,-1069.59
CSV_fdp_2022_02_21_1130.dat,2022-02-21,11:30,52.4790,1,17999,17999,0.590121E-01,0,0.122799E-01,151.934,0,15.2791,52.0232,0,6.69237,-1.03993,0,0.868490,1.17700,0,0.151412,-0.189865E-01,0,0.103544E-01,NaN,NaN,NaN,2.22731,-1.01932,-0.390068E-01,-0.230617E-01,-0.295599E-02,NaN,-0.134732E-09,-0.350866E-11,-0.702978E-12,NaN,16.6345,415.648,420.197,0.200000,0,433.193,10.8242,10.9427,0.200000,0,0.867926E-01,2.09358,2.11649,0.400000,0,NaN,NaN,NaN,NaN,9,289.153,293.115,97528.7,1.15444,1011.43,0.249871E-01,0.762696E-01,0.780614E-02,1055.96,2326.11,0.676185E-02,45.3958,1270.15,280.926,0.637849,0.432857E-01,-0.680682E-01,0.642929,-0.318204E-14,-0.809952E-14,0.642929,3.57537,302.349,3.88226,-6.07741,NaN,0.226092,0.493690,-6.51930,-0.444833,2.92051,-0.575522,0,64.9480,-9.85612,22.2946,55.5166,84.6663,118.746,177.903,0.578880E-01,1.01942,151.607,1.02202,39.8637,1.07767,-8.27127,1.07767,0.901899,1.07767,-0.642593E-01,1.15531,NaN,NaN,800000009,800000019,800000009,800000009,800000019,800011019,800000109,800000109,80000,80000,81,81,2,2,2,38,36,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,4500,4503,4500,0,0,0,0,0,4500,4500,0,0,13499,0,13499,4500,NaN,56,0.343592,0.563981,0.798072E-01,0.849370,0.373946E-02,104.872,0.475465E-06,NaN,0.129841,-0.827127E-02,0.901899,-0.642593E-04,NaN,97644.8,-1998.30,-1933.20
CSV_fdp_2022_02_21_1200.dat,2022-02-21,12:00,52.4999,1,17999,17999,-0.919480E-01,2,0.271609E-01,112.484,0,8.95650,93.7293,0,10.8378,-0.884706E-01,0,0.522510,2.11799,0,0.244900,-0.105089E-02,0,0.567943E-02,NaN,NaN,NaN,-2.39662,0.291939,-0.216301,0.659690E-02,-0.147153E-02,NaN,0.310014E-10,0.821539E-12,0.161657E-12,NaN,16.5656,412.307,416.861,0.100000,0,438.989,10.9261,11.0468,0.100000,0,0.863816E-01,2.07190,2.09479,0.100000,0,NaN,NaN,NaN,NaN,9,289.876,291.846,97487.8,1.15893,1011.46,0.248893E-01,0.137245,0.791059E-02,1065.45,2149.45,0.682577E-02,49.5686,1084.00,281.057,0.395839E-01,-3.03542,0.441241E-01,3.03600,0.482710E-13,0.187143E-14,3.03600,8.13209,20.3941,270.747,0.832745,NaN,0.281671,1.99213,-17.0217,-0.170371,1.20009,-0.340677,0,69.1369,-10.4918,23.7325,59.0972,90.1270,126.404,189.377,-0.909282E-01,1.01122,115.197,1.02255,78.7238,1.09646,-5.84489,1.09646,1.77891,1.09646,-0.387414E-01,1.16115,NaN,NaN,800000009,800000019,800000009,800000009,800000009,800011009,800000109,800000109,80000,80000,80,81,1,1,0,44,34,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2510,2510,2510,0,0,0,0,0,2510,2510,0,0,15489,0,15489,2510,NaN,56,2.76753,1.11079,0.105949,0.401100,0.197592E-02,525.999,0.230352E-06,NaN,0.982736E-01,-0.584489E-02,1.77891,-0.387414E-04,NaN,97604.5,-1113.70,-1039.28
CSV_fdp_2022_02_21_1230.dat,2022-02-21,12:30,52.5207,1,17999,17999,-0.174631,1,0.666203E-02,99.0106,1,6.59343,115.565,1,10.8785,0.421843E-01,1,0.380427,2.61140,1,0.245820,-0.165338E-01,1,0.428076E-02,NaN,NaN,NaN,-0.306647E-02,-1.76742,-0.348821E-01,-0.399381E-01,-0.269651E-03,NaN,0.134388E-11,0.336452E-13,0.700756E-14,NaN,16.5382,411.768,416.057,0.100000,0,414.047,10.3089,10.4163,0.200000,0,0.862369E-01,2.06792,2.08946,0.100000,0,NaN,NaN,NaN,NaN,9,290.004,291.844,97453.2,1.15880,1011.12,0.248980E-01,0.169218,0.746112E-02,1004.91,2149.23,0.643869E-02,46.7566,1144.32,280.201,0.800009,-3.60928,-0.150286E-03,3.69688,0.118409E-12,0.812594E-16,3.69688,8.15810,7.18865,282.498,-0.232920E-02,NaN,0.388201,2.06666,-50.6057,-0.573058E-01,0.856754,-0.217679,0,92.2931,-14.0058,31.6812,78.8907,120.313,168.741,252.805,-0.172581,1.01188,102.937,1.02506,98.6773,1.10530,-5.26730,1.10530,2.22979,1.10530,-0.497427E-01,1.16723,NaN,NaN,800000009,800000019,800000009,800000009,800000009,800011109,800000109,810000109,80000,80000,80,81,1,8,3,45,38,22,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3801,3801,3801,0,0,0,0,0,3801,3801,0,0,14198,0,14198,3801,NaN,56,1.52873,2.50686,0.977414E-01,0.332803,0.153082E-02,616.911,0.144946E-06,NaN,0.878541E-01,-0.526730E-02,2.22979,-0.497427E-04,NaN,97565.6,-1615.13,-1546.28
CSV_fdp_2022_02_21_1300.dat,2022-02-21,13:00,52.5415,1,17999,17999,0.525541E-01,1,0.202418E-01,100.084,0,8.39487,62.9317,0,8.15841,-0.120041,0,0.446445,1.42305,0,0.184482,-0.110934E-02,0,0.464450E-02,NaN,NaN,NaN,1.35830,-1.23681,0.495168E-01,-0.279674E-01,-0.142424E-03,NaN,-0.101245E-09,-0.242366E-11,-0.526313E-12,NaN,16.5207,412.535,416.650,0.100000,0,395.481,9.87547,9.97396,0.100000,0,0.858814E-01,2.06582,2.08642,0.00000,0,NaN,NaN,NaN,NaN,9,290.317,292.566,97409.5,1.15561,1010.89,0.249708E-01,0.922134E-01,0.712657E-02,962.222,2248.19,0.616694E-02,42.7999,1285.97,279.569,0.381264,-1.40668,-0.822518E-02,1.45746,-0.559325E-13,-0.612838E-14,1.45746,6.50502,0.810459,285.165,-0.323351,NaN,0.213254,1.30419,-8.29614,-0.349560,1.59036,-0.401745,0,60.6678,-9.20657,20.8253,51.8579,79.0866,110.920,166.178,0.519199E-01,1.01222,101.788,1.01882,53.0078,1.07887,-5.13969,1.07887,1.19864,1.07887,-0.336328E-01,1.15145,NaN,NaN,800000009,800000019,800000009,800000009,800010009,800011109,800000109,800000109,80000,80000,80,81,0,3,3,56,43,32,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,4418,4447,4418,0,0,0,0,0,4418,4418,0,0,13581,0,13581,4418,NaN,56,1.25606,1.26813,0.841953E-01,0.393611,0.147442E-02,212.106,0.174131E-06,NaN,0.871329E-01,-0.513969E-02,1.19864,-0.336328E-04,NaN,97527.3,-1961.86,-1897.77
CSV_fdp_2022_02_21_1330.dat,2022-02-21,13:30,52.5624,1,17999,17999,-0.213098E-01,1,0.478594E-02,82.5596,0,5.82157,57.4727,0,4.90131,0.204113,0,0.304281,1.29999,0,0.110864,-0.728533E-02,0,0.252075E-02,NaN,NaN,NaN,0.581190,-0.323240,0.629633E-02,-0.731147E-02,-0.515448E-03,NaN,-0.161965E-10,-0.383173E-12,-0.838646E-13,NaN,16.5020,412.633,416.701,0.200000,0,390.402,9.76199,9.85823,0.200000,0,0.854468E-01,2.05819,2.07848,0.200000,0,NaN,NaN,NaN,NaN,9,290.599,292.875,97379.0,1.15408,1010.84,0.250050E-01,0.842394E-01,0.703504E-02,950.868,2291.79,0.609581E-02,41.4901,1340.93,279.397,1.01964,-1.34315,-0.306814E-01,1.68661,-0.198901E-13,-0.981483E-15,1.68661,3.63729,344.407,307.203,-1.04233,NaN,0.135885,0.516167,-2.60132,-1.11482,1.43650,-0.520809,1,18.9950,8.00000,15.0000,24.0000,36.0000,58.0000,127.000,-0.210651E-01,1.01162,84.2635,1.01898,48.7980,1.08080,-3.99699,1.08080,1.10378,1.08080,-0.337042E-01,1.15212,NaN,NaN,800000009,800000019,800000009,800000009,800000009,800011119,800000109,800000109,80000,80000,80,81,1,0,4,74,54,28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1420,1420,1420,0,0,0,0,0,1420,1420,0,0,16579,0,16579,1420,NaN,56,0.573949,0.398471,0.599132E-01,0.276992,0.105116E-02,163.840,0.695039E-07,NaN,0.722308E-01,-0.399699E-02,1.10378,-0.337042E-04,NaN,97500.5,-484.708,-403.949
